pickup_hour,total_trips
18,86744
17,79775
15,77970
14,77375
19,75438
12,74240
16,73233
13,73170
11,70664
21,66130
0,64179
1,58796
20,57540
22,57235
10,56049
9,51596
23,50250
2,49098
8,46295
3,39214
7,38870
4,29306
6,27756
5,19077
