zone_lat,zone_long,zone_revenue,trip_count
40.645,-73.782,452282.0599999928,8235
0,0,402369.14999989764,26203
40.645,-73.777,341922.54999998567,6510
40.774,-73.871,272696.1699999897,7473
40.774,-73.873,238696.7499999907,6601
40.769,-73.863,207698.35999999507,5402
40.647,-73.79,197250.5299999929,3620
40.77,-73.864,182374.639999998,4558
40.644,-73.79,178902.85999999454,3252
40.77,-73.863,138255.88999999862,3453
