trip_date,daily_revenue
2016-01-01,5333323.609976346
2016-01-03,4816525.389984156
2016-01-02,4383390.959985753
2016-01-05,2372572.7600012063
2016-01-04,2251608.2500019693
2016-01-06,2143305.7800024403
2016-01-29,175897.639999991
2016-01-08,59.86
2016-01-09,51.959999999999994
