pickup_day,trips,revenue,avg_fare
Friday,23873,373592.7,12.35436518242366
Monday,1846,28785.920000000002,12.37114301191766
Saturday,21576,316552.66000000003,11.858852892102336
Sunday,2822,41909.69,12.091778880226789
Thursday,23962,361922.98,12.16410900592605
Tuesday,2507,37239.87,11.726501794974073
Wednesday,2915,43734.04,11.914579759862779
